pitch control
time,pitch\_input,pitch\_setpoint,elevator\_angle\_output,
seconds,rad,rad,rad,
5500.08164334, -0.04150000, -0.03090000,  0.13470000,
5500.18155980, -0.04150000, -0.03310000,  0.11090000,
5500.28164864, -0.04140000, -0.03320000,  0.10570000,
5500.38171625, -0.04100000, -0.03250000,  0.10060000,
5500.48170519, -0.04070000, -0.02860000,  0.12350000,
5500.58187389, -0.04030000, -0.02870000,  0.12080000,
5500.68224096, -0.04010000, -0.03020000,  0.11280000,
5500.78176451, -0.03970000, -0.03190000,  0.10070000,
5500.88174748, -0.03980000, -0.03020000,  0.11680000,
5500.98159957, -0.03970000, -0.03180000,  0.11810000,
5501.08164597, -0.04000000, -0.02960000,  0.14820000,
5501.18174505, -0.04010000, -0.03180000,  0.14170000,
5501.28202844, -0.04030000, -0.03010000,  0.15660000,
5501.38162184, -0.04090000, -0.03230000,  0.15600000,
5501.48164582, -0.04140000, -0.03010000,  0.16670000,
5501.58171844, -0.04160000, -0.03350000,  0.14520000,
5501.68161845, -0.04170000, -0.03070000,  0.15510000,
5501.78162217, -0.04180000, -0.03240000,  0.13430000,
5501.88163543, -0.04180000, -0.03020000,  0.13660000,
5501.98161483, -0.04190000, -0.03300000,  0.11350000,
5502.08155179, -0.04210000, -0.03020000,  0.12780000,
5502.18175268, -0.04160000, -0.03300000,  0.10450000,
5502.28165507, -0.04120000, -0.03190000,  0.10910000,
5502.38159728, -0.04110000, -0.03300000,  0.09930000,
5502.48161483, -0.04050000, -0.03250000,  0.09930000,
5502.58156371, -0.04030000, -0.03070000,  0.10370000,
5502.68171024, -0.03990000, -0.03480000,  0.09820000,
5502.78164482, -0.03970000, -0.03370000,  0.10550000,
5502.88197732, -0.03970000, -0.03310000,  0.11810000,
5502.98162532, -0.03960000, -0.03320000,  0.12280000,
5503.08161068, -0.03970000, -0.03320000,  0.12590000,
5503.18161058, -0.03980000, -0.03380000,  0.12130000,
5503.28163958, -0.03990000, -0.03320000,  0.12700000,
5503.38161349, -0.04000000, -0.03380000,  0.12920000,
5503.48164725, -0.04020000, -0.03330000,  0.13630000,
5503.58161211, -0.04030000, -0.03390000,  0.12900000,
5503.68168235, -0.04040000, -0.03270000,  0.14270000,
5503.78163409, -0.04090000, -0.03390000,  0.14580000,
5503.88163137, -0.04120000, -0.03230000,  0.15240000,
5503.98157334, -0.04170000, -0.03170000,  0.15510000,
5504.08165908, -0.04210000, -0.03110000,  0.16170000,
5504.18164015, -0.04250000, -0.03330000,  0.14690000,
5504.28165460, -0.04260000, -0.02940000,  0.16230000,
5504.38162327, -0.04270000, -0.03280000,  0.14200000,
5504.48159242, -0.04260000, -0.03050000,  0.13880000,
5504.58160710, -0.04250000, -0.03280000,  0.11480000,
5504.68157721, -0.04200000, -0.03000000,  0.12110000,
5504.78168130, -0.04160000, -0.03110000,  0.10300000,
5504.88161039, -0.04130000, -0.03110000,  0.10230000,
5504.98167133, -0.04080000, -0.03050000,  0.09830000,
5505.08156729, -0.04020000, -0.03050000,  0.09250000,
5505.18189883, -0.03950000, -0.02930000,  0.09040000,
5505.28161621, -0.03910000, -0.03040000,  0.08790000,
5505.38161540, -0.03840000, -0.02880000,  0.09050000,
5505.48165226, -0.03770000, -0.03050000,  0.07800000,
5505.58165073, -0.03730000, -0.03160000,  0.07760000,
5505.68163967, -0.03690000, -0.02820000,  0.10710000,
5505.78161812, -0.03660000, -0.03040000,  0.10110000,
5505.88162374, -0.03660000, -0.03090000,  0.10330000,
5505.98168421, -0.03620000, -0.03100000,  0.10260000,
5506.08159041, -0.03630000, -0.03160000,  0.10960000,
5506.18170238, -0.03630000, -0.02970000,  0.12410000,
5506.28168297, -0.03640000, -0.03260000,  0.12720000,
5506.38184929, -0.03700000, -0.03210000,  0.14110000,
5506.48164225, -0.03760000, -0.03160000,  0.15550000,
5506.58167148, -0.03810000, -0.03160000,  0.16060000,
