altitude
time,h,h_0,h_1,h_2,h_3,
seconds,m,m,m,m,m,
2978.12901545,  6.77659200,  6.99500000,  6.57200000,  7.44900000,  6.21500000,
2978.23908758,  6.73461100,  6.99500000,  6.50700000,  7.28700000,  6.24700000,
2978.34898591,  6.76684600,  7.31900000,  6.34500000,  7.22200000,  6.31200000,
2978.46006393,  6.80544100,  7.44900000,  6.21500000,  7.15700000,  6.54000000,
2978.56811666,  6.83743900,  7.80700000,  6.18200000,  7.02700000,  6.54000000,
2978.67881751,  6.89009100,  7.93700000,  6.08500000,  7.09200000,  6.70200000,
2978.78873205,  6.91951200,  7.96900000,  6.05200000,  7.09200000,  6.83200000,
2978.89836073,  6.92494300,  8.13200000,  6.05200000,  7.06000000,  6.76700000,
2979.00692272,  6.95671200,  8.13200000,  6.05200000,  7.15700000,  6.80000000,
2979.11818695,  6.89579200,  8.03400000,  6.02000000,  7.09200000,  6.73500000,
2979.22708726,  6.90509300,  7.87200000,  6.15000000,  7.15700000,  6.67000000,
2979.33751798,  6.82390100,  7.61200000,  6.18200000,  7.06000000,  6.60500000,
2979.44904327,  6.81423600,  7.48200000,  6.24700000,  7.12400000,  6.54000000,
2979.55902362,  6.79211900,  7.31900000,  6.31200000,  7.25400000,  6.41000000,
2979.66998434,  6.80249300,  7.15700000,  6.47500000,  7.38400000,  6.31200000,
2979.77730536,  6.82364500,  7.09200000,  6.57200000,  7.38400000,  6.34500000,
2979.88764763,  6.79929300,  6.99500000,  6.63700000,  7.25400000,  6.37700000,
2979.99908972,  6.75749500,  6.93000000,  6.60500000,  7.09200000,  6.44200000,
2980.10616779,  6.73481900,  6.89700000,  6.60500000,  7.02700000,  6.44200000,
2980.21703863,  6.71393300,  6.83200000,  6.63700000,  6.93000000,  6.47500000,
2980.32596922,  6.70779000,  6.80000000,  6.67000000,  6.86500000,  6.50700000,
2980.43496680,  6.69319400,  6.76700000,  6.63700000,  6.76700000,  6.60500000,
2980.54297376,  6.66870800,  6.76700000,  6.57200000,  6.70200000,  6.63700000,
2980.65296793,  6.66872100,  6.76700000,  6.57200000,  6.60500000,  6.73500000,
2980.76366997,  6.68143000,  6.86500000,  6.54000000,  6.47500000,  6.86500000,
2980.87394238,  6.72681500,  6.96200000,  6.50700000,  6.50700000,  6.96200000,
2980.98119831,  6.73816400,  7.02700000,  6.50700000,  6.41000000,  7.06000000,
2981.09024405,  6.72381000,  6.96200000,  6.57200000,  6.37700000,  7.02700000,
2981.19888663,  6.71393300,  6.83200000,  6.63700000,  6.47500000,  6.93000000,
2981.30484843,  6.67575100,  6.70200000,  6.67000000,  6.50700000,  6.83200000,
2981.41709876,  6.68442200,  6.57200000,  6.83200000,  6.60500000,  6.73500000,
2981.52589417,  6.64902400,  6.41000000,  6.89700000,  6.63700000,  6.67000000,
2981.63396525,  6.68072600,  6.31200000,  7.15700000,  6.67000000,  6.63700000,
2981.74264693,  6.71271000,  6.15000000,  7.41700000,  6.80000000,  6.60500000,
2981.85601807,  6.68965300,  6.05200000,  7.44900000,  6.80000000,  6.60500000,
2981.96261835,  6.71131000,  6.08500000,  7.54700000,  6.76700000,  6.60500000,
2982.07152867,  6.67564700,  6.05200000,  7.41700000,  6.70200000,  6.67000000,
2982.18360853,  6.63127800,  6.15000000,  7.18900000,  6.47500000,  6.80000000,
2982.29267502,  6.65390200,  6.34500000,  7.02700000,  6.34500000,  6.96200000,
2982.39889526,  6.66887200,  6.50700000,  6.86500000,  6.15000000,  7.25400000,
2982.50938392,  6.69689800,  6.73500000,  6.67000000,  6.05200000,  7.48200000,
2982.61442780,  6.76078500,  6.86500000,  6.67000000,  6.05200000,  7.64400000,
2982.72667170,  6.73935200,  6.96200000,  6.57200000,  6.05200000,  7.54700000,
2982.83861947,  6.67403500,  6.86500000,  6.47500000,  6.15000000,  7.31900000,
2982.94497705,  6.69999900,  6.89700000,  6.54000000,  6.37700000,  7.02700000,
2983.05608082,  6.71693000,  6.76700000,  6.63700000,  6.60500000,  6.86500000,
2983.16505575,  6.69375800,  6.67000000,  6.76700000,  6.73500000,  6.60500000,
2983.27396369,  6.68422600,  6.63700000,  6.73500000,  6.83200000,  6.54000000,
2983.38497567,  6.72059800,  6.54000000,  6.93000000,  6.93000000,  6.50700000,
2983.49414372,  6.69666900,  6.54000000,  6.86500000,  6.93000000,  6.47500000,
2983.60278296,  6.70195500,  6.50700000,  6.96200000,  6.93000000,  6.44200000,
2983.71032858,  6.68027400,  6.47500000,  6.89700000,  6.86500000,  6.50700000,
2983.81976414,  6.65808900,  6.54000000,  6.80000000,  6.83200000,  6.47500000,
2983.92860413,  6.66680800,  6.50700000,  6.83200000,  6.76700000,  6.57200000,
2984.03665042,  6.64333400,  6.47500000,  6.80000000,  6.70200000,  6.60500000,
2984.14498925,  6.62517000,  6.41000000,  6.86500000,  6.57200000,  6.67000000,
2984.25606704,  6.62222500,  6.37700000,  6.93000000,  6.47500000,  6.73500000,
2984.36604452,  6.60546300,  6.34500000,  6.86500000,  6.44200000,  6.80000000,
2984.47313428,  6.62038500,  6.34500000,  6.93000000,  6.44200000,  6.80000000,
2984.58333993,  6.65174800,  6.34500000,  6.96200000,  6.47500000,  6.86500000,
2984.69098282,  6.63324900,  6.31200000,  7.02700000,  6.44200000,  6.80000000,
2984.79962516,  6.62051600,  6.31200000,  6.93000000,  6.50700000,  6.76700000,
2984.90960360,  6.66479900,  6.44200000,  6.93000000,  6.57200000,  6.73500000,
2985.01896334,  6.65980800,  6.50700000,  6.80000000,  6.63700000,  6.70200000,
