depth
time,pressure,depth_raw,depth_filt,
seconds,Pa,m,m,
2971.89275885,-3363.80610000, -0.34300000, -0.38140000,
2971.99392605,-3301.81720000, -0.33670000, -0.37690000,
2972.09073377,-3271.49030000, -0.33360000, -0.37260000,
2972.19469333,-3219.61030000, -0.32830000, -0.36820000,
2972.29578900,-3137.78490000, -0.32000000, -0.36340000,
2972.39451003,-3144.46060000, -0.32060000, -0.35910000,
2972.49785495,-3244.97810000, -0.33090000, -0.35630000,
2972.59720254,-3252.03530000, -0.33160000, -0.35380000,
2972.69067836,-3281.02710000, -0.33460000, -0.35190000,
2972.79298019,-3323.37030000, -0.33890000, -0.35060000,
2972.89927626,-3525.74030000, -0.35950000, -0.35150000,
2972.99845982,-3657.72910000, -0.37300000, -0.35360000,
2973.09971619,-3798.68240000, -0.38740000, -0.35700000,
2973.20028734,-3929.52680000, -0.40070000, -0.36140000,
2973.29977489,-4035.57550000, -0.41150000, -0.36640000,
2973.39264941,-4094.13120000, -0.41750000, -0.37150000,
2973.50080872,-4186.44710000, -0.42690000, -0.37700000,
2973.59135914,-4208.57240000, -0.42920000, -0.38220000,
2973.70235252,-4193.50430000, -0.42760000, -0.38680000,
2973.80222416,-4141.62430000, -0.42230000, -0.39030000,
2973.90339160,-4092.79610000, -0.41730000, -0.39300000,
2974.00521660,-4046.25670000, -0.41260000, -0.39500000,
2974.10533810,-3976.06610000, -0.40540000, -0.39600000,
2974.20422888,-3901.48870000, -0.39780000, -0.39620000,
2974.30513620,-3768.73700000, -0.38430000, -0.39500000,
2974.40537429,-3658.87350000, -0.37310000, -0.39280000,
2974.50538206,-3559.30970000, -0.36290000, -0.38980000,
2974.60695481,-3444.86860000, -0.35130000, -0.38600000,
2974.70880580,-3386.69440000, -0.34530000, -0.38190000,
2974.79367447,-3321.27220000, -0.33870000, -0.37760000,
2974.90874171,-3244.97810000, -0.33090000, -0.37290000,
2975.00934958,-3210.26430000, -0.32740000, -0.36840000,
2975.11017632,-3142.93480000, -0.32050000, -0.36360000,
2975.21102810,-3231.81740000, -0.32960000, -0.36020000,
2975.31016779,-3270.34590000, -0.33350000, -0.35750000,
2975.41187644,-3256.99440000, -0.33210000, -0.35500000,
2975.49200773,-3246.88540000, -0.33110000, -0.35260000,
2975.61109328,-3316.50380000, -0.33820000, -0.35110000,
2975.71124649,-3360.56360000, -0.34270000, -0.35030000,
2975.81253958,-3396.42190000, -0.34630000, -0.34990000,
2975.91322446,-3487.59330000, -0.35560000, -0.35050000,
2976.01413083,-3454.40540000, -0.35230000, -0.35070000,
2976.11590648,-3473.28810000, -0.35420000, -0.35100000,
2976.21454215,-3520.20900000, -0.35900000, -0.35180000,
2976.31444573,-3551.10810000, -0.36210000, -0.35280000,
2976.41610336,-3586.01260000, -0.36570000, -0.35410000,
2976.51553726,-3594.97720000, -0.36660000, -0.35540000,
2976.59137154,-3586.58490000, -0.36570000, -0.35640000,
2976.71750212,-3555.11350000, -0.36250000, -0.35700000,
2976.81666899,-3522.68860000, -0.35920000, -0.35720000,
2976.91836858,-3462.41620000, -0.35310000, -0.35680000,
2977.01885486,-3361.89880000, -0.34280000, -0.35540000,
2977.11935687,-3301.62650000, -0.33670000, -0.35350000,
2977.22036362,-3165.25080000, -0.32280000, -0.35050000,
2977.32006145,-3114.70590000, -0.31760000, -0.34720000,
2977.41622782,-3002.93510000, -0.30620000, -0.34310000,
2977.52161884,-2873.23520000, -0.29300000, -0.33810000,
2977.62262321,-2733.23550000, -0.27870000, -0.33210000,
2977.72268343,-2673.91690000, -0.27270000, -0.32620000,
2977.82164121,-2623.94430000, -0.26760000, -0.32030000,
2977.92276144,-2581.41030000, -0.26320000, -0.31460000,
