DVL
time,v_x,v_y,v_z,data\_good,
seconds,m/s,m/s,m/s,bool,
3155.75332975,  1.44200000, -0.15100000, -0.04200000,  1.00000000,
3155.84941483,  1.40600000, -0.16000000, -0.03300000,  1.00000000,
3155.94545579,  1.45900000, -0.17000000, -0.02300000,  1.00000000,
3156.04296017,  1.44600000, -0.18000000, -0.02500000,  1.00000000,
3156.13743305,  1.45100000, -0.18200000, -0.04600000,  1.00000000,
3156.23649359,  1.47000000, -0.17700000, -0.02700000,  1.00000000,
3156.33366323,  1.43700000, -0.14300000, -0.02900000,  1.00000000,
3156.42951870,  1.45100000, -0.13200000, -0.03300000,  1.00000000,
3156.52555203,  1.45000000, -0.09900000, -0.03100000,  1.00000000,
3156.62162638,  1.46900000, -0.11500000, -0.03900000,  1.00000000,
3156.71740961,  1.47700000, -0.10200000, -0.04800000,  1.00000000,
3156.81329966,  1.44200000, -0.12500000, -0.05300000,  1.00000000,
3156.90855932,  1.45300000, -0.11500000, -0.04800000,  1.00000000,
3157.00456500,  1.40400000, -0.13900000, -0.05400000,  1.00000000,
3157.10216022,  1.43200000, -0.13000000, -0.04000000,  1.00000000,
3157.19745159,  1.46200000, -0.03700000, -0.00300000,  1.00000000,
3157.29450369,  1.44800000, -0.13400000, -0.03900000,  1.00000000,
3157.39188504,  1.44000000, -0.14600000, -0.03400000,  1.00000000,
3157.48940158,  1.45700000, -0.16600000, -0.01800000,  1.00000000,
3157.58670163,  1.44500000, -0.14400000, -0.03300000,  1.00000000,
3157.68152452,  1.48500000, -0.14000000, -0.01600000,  1.00000000,
3157.77657223,  1.47000000, -0.13700000, -0.04000000,  1.00000000,
3157.87348795,  1.49900000, -0.14400000, -0.04000000,  1.00000000,
3157.96756029,  1.45600000, -0.14900000, -0.02700000,  1.00000000,
3158.06548858,  1.46700000, -0.13700000, -0.03000000,  1.00000000,
3158.16064620,  1.45800000, -0.13900000, -0.03700000,  1.00000000,
3158.25743675,  1.43100000, -0.14500000, -0.04500000,  1.00000000,
3158.35358405,  1.44200000, -0.13100000, -0.03300000,  1.00000000,
3158.44743156,  1.46500000, -0.12900000, -0.02800000,  1.00000000,
3158.54653025,  1.44800000, -0.14800000, -0.01500000,  1.00000000,
3158.64400196,  1.43800000, -0.15200000, -0.01600000,  1.00000000,
3158.73842955,  1.44300000, -0.09700000, -0.01300000,  1.00000000,
3158.83655047,  1.44600000, -0.10900000, -0.04200000,  1.00000000,
3158.93316269,  1.47400000, -0.12000000, -0.04300000,  1.00000000,
3159.02847195,  1.45700000, -0.10100000, -0.03500000,  1.00000000,
3159.12467337,  1.45300000, -0.06900000, -0.03500000,  1.00000000,
3159.22068357,  1.48800000, -0.10900000, -0.05400000,  1.00000000,
3159.31456065,  1.48600000, -0.11600000, -0.05600000,  1.00000000,
3159.41301703,  1.45300000, -0.16000000, -0.04800000,  1.00000000,
3159.50640130,  1.46400000, -0.11800000, -0.04500000,  1.00000000,
3159.60372758,  1.47700000, -0.11400000, -0.03900000,  1.00000000,
3159.70332241,  1.48000000, -0.16300000, -0.06400000,  1.00000000,
3159.79937649,  1.46000000, -0.16900000, -0.05800000,  1.00000000,
3159.89647412,  1.45300000, -0.14500000, -0.04500000,  1.00000000,
3159.99396253,  1.46800000, -0.16100000, -0.02800000,  1.00000000,
3160.08745551,  1.51700000, -0.09500000, -0.04200000,  1.00000000,
3160.18415666,  1.46200000, -0.10600000, -0.05000000,  1.00000000,
3160.28062201,  1.49000000, -0.10700000, -0.02100000,  1.00000000,
3160.37664557,  1.49600000, -0.12100000, -0.06600000,  1.00000000,
3160.47485089,  1.51900000, -0.13300000, -0.06500000,  1.00000000,
3160.56994915,  1.48600000, -0.12900000, -0.06800000,  1.00000000,
3160.66251040,  1.49200000, -0.15500000, -0.05600000,  1.00000000,
3160.75988460,  1.50400000, -0.13800000, -0.05900000,  1.00000000,
3160.85892701,  1.47000000, -0.13000000, -0.05500000,  1.00000000,
3160.95592475,  1.54100000, -0.12800000, -0.04900000,  1.00000000,
3161.05343723,  1.54400000, -0.09400000, -0.05200000,  1.00000000,
3161.14796686,  1.54100000, -0.12600000, -0.03700000,  1.00000000,
3161.24496174,  1.54900000, -0.11000000, -0.07200000,  1.00000000,
3161.34131598,  1.53300000, -0.13700000, -0.04500000,  1.00000000,
3161.43602061,  1.51400000, -0.12500000, -0.05800000,  1.00000000,
3161.53434181,  1.52100000, -0.09800000, -0.03800000,  1.00000000,
3161.62695074,  1.51600000, -0.12300000, -0.04300000,  1.00000000,
3161.72297525,  1.48100000, -0.12300000, -0.04600000,  1.00000000,
3161.81891894,  1.56700000, -0.13400000, -0.05400000,  1.00000000,
3161.91916943,  1.49400000, -0.16700000, -0.04300000,  1.00000000,
3162.01808476,  1.52500000, -0.11400000, -0.03500000,  1.00000000,
3162.11326146,  1.56100000, -0.15900000, -0.01400000,  1.00000000,
3162.21150923,  1.47900000, -0.14400000, -0.01600000,  1.00000000,
3162.30427480,  1.54000000, -0.13100000, -0.00300000,  1.00000000,
3162.40302396,  1.48900000, -0.14800000, -0.02300000,  1.00000000,
3162.49827027,  1.53700000, -0.13300000, -0.00800000,  1.00000000,
3162.59430194,  1.56200000, -0.17100000, -0.00400000,  1.00000000,
3162.69019842,  1.54300000, -0.17600000,  0.00400000,  1.00000000,
3162.78633857,  1.52100000, -0.11600000, -0.01400000,  1.00000000,
3162.88227916,  1.49800000, -0.13300000, -0.01300000,  1.00000000,
3162.97987461,  1.49500000, -0.15100000, -0.01600000,  1.00000000,
3163.07425499,  1.51200000, -0.11900000, -0.01600000,  1.00000000,
3163.17286015,  1.53500000, -0.16100000,  0.00700000,  1.00000000,
3163.26889491,  1.46200000, -0.17500000,  0.00400000,  1.00000000,
3163.36436987,  1.45200000, -0.16300000,  0.00300000,  1.00000000,
3163.46074843,  1.48400000, -0.16700000,  0.01300000,  1.00000000,
3163.55681205,  1.46500000, -0.16400000,  0.00600000,  1.00000000,
3163.65163374,  1.45800000, -0.16300000, -0.00700000,  1.00000000,
3163.74872136,  1.44200000, -0.18400000, -0.00600000,  1.00000000,
3163.84682775,  1.45900000, -0.13700000, -0.01400000,  1.00000000,
3163.94085622,  1.48600000, -0.17500000, -0.02000000,  1.00000000,
3164.03783584,  1.47900000, -0.18000000, -0.01100000,  1.00000000,
3164.13561654,  1.40500000, -0.12300000, -0.00200000,  1.00000000,
3164.23088980,  1.46800000, -0.16500000, -0.03300000,  1.00000000,
3164.32979321,  1.48500000, -0.16600000, -0.03700000,  1.00000000,
3164.42182231,  1.43400000, -0.14300000, -0.03300000,  1.00000000,
3164.51780176,  1.42900000, -0.14300000, -0.01800000,  1.00000000,
3164.61681771,  1.44800000, -0.19500000, -0.03700000,  1.00000000,
3164.71488953,  1.42800000, -0.16200000, -0.04400000,  1.00000000,
3164.80983829,  1.41600000, -0.12200000, -0.02900000,  1.00000000,
3164.90182972,  1.42500000, -0.15700000, -0.03100000,  1.00000000,
3165.00293088,  1.43300000, -0.14400000, -0.04700000,  1.00000000,
3165.09676170,  1.40000000, -0.13500000, -0.05500000,  1.00000000,
3165.19390416,  1.43000000, -0.13200000, -0.04900000,  1.00000000,
3165.28585267,  1.43100000, -0.16900000, -0.06700000,  1.00000000,
3165.38488245,  1.40900000, -0.15000000, -0.05200000,  1.00000000,
3165.48188257,  1.41400000, -0.18100000, -0.07800000,  1.00000000,
3165.57883596,  1.45000000, -0.13800000, -0.06200000,  1.00000000,
3165.67681789,  1.41800000, -0.13000000, -0.06400000,  1.00000000,
3165.77424717,  1.46300000, -0.09400000, -0.05300000,  1.00000000,
3165.86918998,  1.44400000, -0.14400000, -0.07000000,  1.00000000,
3165.96530056,  1.46900000, -0.15600000, -0.05600000,  1.00000000,
3166.06331396,  1.43100000, -0.14100000, -0.04700000,  1.00000000,
3166.15849781,  1.45000000, -0.15400000, -0.04900000,  1.00000000,
3166.25249696,  1.45600000, -0.15500000, -0.05800000,  1.00000000,
3166.35048676,  1.49100000, -0.14300000, -0.06200000,  1.00000000,
3166.44460177,  1.47500000, -0.12900000, -0.04300000,  1.00000000,
3166.54269290,  1.43000000, -0.13400000, -0.04900000,  1.00000000,
3166.64149237,  1.44500000, -0.10000000, -0.02600000,  1.00000000,
3166.73748469,  1.47200000, -0.12600000, -0.01800000,  1.00000000,
3166.83513999,  1.44800000, -0.13100000, -0.04400000,  1.00000000,
3166.93063474,  1.46200000, -0.08900000, -0.01200000,  1.00000000,
3167.02654409,  1.47400000, -0.13900000, -0.01000000,  1.00000000,
3167.12354207,  1.44600000, -0.14000000, -0.02400000,  1.00000000,
3167.21946383,  1.44500000, -0.11500000, -0.02600000,  1.00000000,
3167.31400466,  1.45300000, -0.10500000, -0.02100000,  1.00000000,
3167.40963769,  1.47200000, -0.10000000, -0.00700000,  1.00000000,
3167.50580335,  1.47600000, -0.11500000, -0.02400000,  1.00000000,
3167.60372210,  1.47300000, -0.13400000, -0.00900000,  1.00000000,
3167.69991374,  1.47300000, -0.11500000, -0.01700000,  1.00000000,
3167.79507446,  1.44600000, -0.12100000, -0.02400000,  1.00000000,
3167.89423203,  1.50300000, -0.13300000, -0.00000000,  1.00000000,
3167.98959136,  1.46100000, -0.16900000, -0.02300000,  1.00000000,
3168.08479238,  1.44300000, -0.14000000, -0.02200000,  1.00000000,
3168.18375063,  1.45700000, -0.16600000, -0.02600000,  1.00000000,
3168.27971172,  1.44900000, -0.18400000, -0.02300000,  1.00000000,
3168.37563157,  1.44800000, -0.15400000, -0.02100000,  1.00000000,
3168.47161651,  1.47600000, -0.13000000, -0.04000000,  1.00000000,
3168.56756616,  1.45900000, -0.18700000, -0.03000000,  1.00000000,
3168.66285896,  1.45400000, -0.13000000, -0.02400000,  1.00000000,
3168.75766659,  1.45700000, -0.15000000, -0.04500000,  1.00000000,
3168.85559630,  1.42100000, -0.12300000, -0.03000000,  1.00000000,
3168.95364523,  1.44200000, -0.11800000, -0.04300000,  1.00000000,
3169.04961634,  1.44600000, -0.11700000, -0.03500000,  1.00000000,
3169.14754152,  1.45000000, -0.13500000, -0.03500000,  1.00000000,
3169.24161959,  1.46900000, -0.15300000, -0.03500000,  1.00000000,
3169.33856988,  1.43100000, -0.12800000, -0.02300000,  1.00000000,
3169.43420553,  1.44900000, -0.13600000, -0.03800000,  1.00000000,
3169.52951813,  1.46500000, -0.14500000, -0.05000000,  1.00000000,
3169.62572455,  1.44000000, -0.14400000, -0.02300000,  1.00000000,
3169.72378111,  1.46200000, -0.15000000, -0.01600000,  1.00000000,
3169.81754255,  1.43500000, -0.11700000, -0.01500000,  1.00000000,
3169.91366243,  1.47000000, -0.13400000, -0.02800000,  1.00000000,
3170.01347399,  1.44100000, -0.16400000, -0.02300000,  1.00000000,
3170.11056137,  1.46700000, -0.15400000, -0.02100000,  1.00000000,
3170.20658517,  1.43800000, -0.16000000, -0.02500000,  1.00000000,
3170.30370474,  1.43600000, -0.16500000, -0.00900000,  1.00000000,
3170.40069580,  1.45700000, -0.20600000, -0.02000000,  1.00000000,
3170.49558806,  1.50700000, -0.17500000, -0.02500000,  1.00000000,
3170.59275651,  1.47700000, -0.19900000, -0.03600000,  1.00000000,
3170.68871450,  1.48400000, -0.16200000, -0.03900000,  1.00000000,
3170.78263927,  1.47800000, -0.18500000, -0.05900000,  1.00000000,
3170.88076973,  1.45700000, -0.18800000, -0.05500000,  1.00000000,
3170.97567964,  1.44900000, -0.14400000, -0.06000000,  1.00000000,
3171.07271409,  1.46100000, -0.22400000, -0.04800000,  1.00000000,
3171.16910148,  1.45000000, -0.17300000, -0.04100000,  1.00000000,
3171.26473308,  1.43500000, -0.20400000, -0.05400000,  1.00000000,
3171.36155701,  1.48800000, -0.22400000, -0.03800000,  1.00000000,
3171.45980358,  1.47200000, -0.15700000, -0.03100000,  1.00000000,
3171.55463195,  1.49900000, -0.18100000, -0.03700000,  1.00000000,
3171.65159321,  1.48000000, -0.18300000, -0.05200000,  1.00000000,
3171.74664068,  1.50700000, -0.19000000, -0.04200000,  1.00000000,
3171.84544683,  1.49300000, -0.21800000, -0.05300000,  1.00000000,
3171.93864202,  1.46800000, -0.15700000, -0.05100000,  1.00000000,
3172.03677201,  1.51300000, -0.17100000, -0.03900000,  1.00000000,
3172.13135195,  1.50800000, -0.17500000, -0.05600000,  1.00000000,
