line tracking
time,cross\_track\_err\_input,cross\_track\_err\_setpoint,yaw\_line,yaw\_setpoint,
seconds,m,m,rad,rad,
5153.49607968,  0.00000000,  0.00000000,  3.92490000,  4.09420000,
5153.59589839,  0.01000000,  0.00000000,  3.92490000,  4.09380000,
5153.69579005,  0.01000000,  0.00000000,  3.92490000,  4.09370000,
5153.79593182,  0.02000000,  0.00000000,  3.92490000,  4.09290000,
5153.89573622,  0.05000000,  0.00000000,  3.92490000,  4.09080000,
5153.99576449,  0.04000000,  0.00000000,  3.92490000,  4.09140000,
5154.09583259,  0.07000000,  0.00000000,  3.92490000,  4.08930000,
5154.19575238,  0.08000000,  0.00000000,  3.92490000,  4.08900000,
5154.29581738,  0.06000000,  0.00000000,  3.92490000,  4.09050000,
5154.39571214,  0.13000000,  0.00000000,  3.92490000,  4.08550000,
5154.49607134,  0.15000000,  0.00000000,  3.92490000,  4.08420000,
5154.59578156,  0.16000000,  0.00000000,  3.92490000,  4.08360000,
5154.69581175,  0.17000000,  0.00000000,  3.92490000,  4.08240000,
5154.79579377,  0.17000000,  0.00000000,  3.92490000,  4.08270000,
5154.89596725,  0.07000000,  0.00000000,  3.92490000,  4.08910000,
5154.99581337,  0.06000000,  0.00000000,  3.92490000,  4.08980000,
5155.09575486,  0.01000000,  0.00000000,  3.92490000,  4.09300000,
5155.19605684,  0.02000000,  0.00000000,  3.92490000,  4.09260000,
5155.29615045,  0.05000000,  0.00000000,  3.92490000,  4.09040000,
5155.39571619,  0.05000000,  0.00000000,  3.92490000,  4.09020000,
5155.49601126,  0.08000000,  0.00000000,  3.92490000,  4.08850000,
5155.59629869,  0.11000000,  0.00000000,  3.92490000,  4.08610000,
5155.69609547,  0.07000000,  0.00000000,  3.92490000,  4.08860000,
5155.79583430,  0.08000000,  0.00000000,  3.92490000,  4.08840000,
5155.89630699,  0.05000000,  0.00000000,  3.92490000,  4.09010000,
5155.99583864,  0.03000000,  0.00000000,  3.92490000,  4.09150000,
5156.09571552,  0.02000000,  0.00000000,  3.92490000,  4.09230000,
5156.19583201,  0.04000000,  0.00000000,  3.92490000,  4.09040000,
5156.29606915,  0.06000000,  0.00000000,  3.92490000,  4.08940000,
5156.39568067,  0.06000000,  0.00000000,  3.92490000,  4.08940000,
5156.49601793,  0.05000000,  0.00000000,  3.92490000,  4.09010000,
5156.59590483,  0.04000000,  0.00000000,  3.92490000,  4.09070000,
5156.69607377,  0.05000000,  0.00000000,  3.92490000,  4.09000000,
5156.79698992,  0.02000000,  0.00000000,  3.92490000,  4.09180000,
5156.89628220,  0.02000000,  0.00000000,  3.92490000,  4.09170000,
5156.99606919,  0.00000000,  0.00000000,  3.92490000,  4.09310000,
5157.09614253,  0.02000000,  0.00000000,  3.92490000,  4.09160000,
5157.19579720,  0.05000000,  0.00000000,  3.92490000,  4.09010000,
5157.29565954,  0.12000000,  0.00000000,  3.92490000,  4.08520000,
5157.39584613, -0.01000000,  0.00000000,  3.92490000,  4.09370000,
5157.49599171,  0.02000000,  0.00000000,  3.92490000,  4.09170000,
5157.59623861,  0.06000000,  0.00000000,  3.92490000,  4.08930000,
5157.69578719,  0.12000000,  0.00000000,  3.92490000,  4.08510000,
5157.79681659,  0.17000000,  0.00000000,  3.92490000,  4.08140000,
5157.89585829,  0.28000000,  0.00000000,  3.92490000,  4.07400000,
5157.99600220,  0.25000000,  0.00000000,  3.92490000,  4.07610000,
5158.09632611,  0.25000000,  0.00000000,  3.92490000,  4.07590000,
5158.19580626,  0.32000000,  0.00000000,  3.92490000,  4.07120000,
5158.29575443,  0.31000000,  0.00000000,  3.92490000,  4.07170000,
5158.39646053,  0.30000000,  0.00000000,  3.92490000,  4.07180000,
5158.49586892,  0.28000000,  0.00000000,  3.92490000,  4.07350000,
5158.59592342,  0.27000000,  0.00000000,  3.92490000,  4.07400000,
5158.69589686,  0.27000000,  0.00000000,  3.92490000,  4.07340000,
5158.79579282,  0.24000000,  0.00000000,  3.92490000,  4.07550000,
5158.89594769,  0.27000000,  0.00000000,  3.92490000,  4.07370000,
5158.99606419,  0.28000000,  0.00000000,  3.92490000,  4.07260000,
5159.09585786,  0.28000000,  0.00000000,  3.92490000,  4.07260000,
5159.19598961,  0.26000000,  0.00000000,  3.92490000,  4.07340000,
5159.29608440,  0.29000000,  0.00000000,  3.92490000,  4.07170000,
5159.39600110,  0.27000000,  0.00000000,  3.92490000,  4.07290000,
5159.49573016,  0.26000000,  0.00000000,  3.92490000,  4.07340000,
5159.59583402,  0.25000000,  0.00000000,  3.92490000,  4.07360000,
5159.69578743,  0.25000000,  0.00000000,  3.92490000,  4.07400000,
5159.79591703,  0.24000000,  0.00000000,  3.92490000,  4.07440000,
5159.89585781,  0.23000000,  0.00000000,  3.92490000,  4.07470000,
5159.99580860,  0.19000000,  0.00000000,  3.92490000,  4.07710000,
5160.09596968,  0.16000000,  0.00000000,  3.92490000,  4.07950000,
5160.19614339,  0.14000000,  0.00000000,  3.92490000,  4.08050000,
5160.29618287,  0.07000000,  0.00000000,  3.92490000,  4.08550000,
5160.39576507,  0.06000000,  0.00000000,  3.92490000,  4.08580000,
5160.49606562,  0.08000000,  0.00000000,  3.92490000,  4.08450000,
5160.59574747,  0.03000000,  0.00000000,  3.92490000,  4.08780000,
5160.69606543,  0.01000000,  0.00000000,  3.92490000,  4.08910000,
5160.79632497, -0.00000000,  0.00000000,  3.92490000,  4.09000000,
5160.89605927, -0.03000000,  0.00000000,  3.92490000,  4.09150000,
5160.99588561, -0.01000000,  0.00000000,  3.92490000,  4.09070000,
5161.09626698, -0.01000000,  0.00000000,  3.92490000,  4.09060000,
5161.19589114, -0.01000000,  0.00000000,  3.92490000,  4.09010000,
5161.29587364,  0.01000000,  0.00000000,  3.92490000,  4.08940000,
5161.39620900,  0.01000000,  0.00000000,  3.92490000,  4.08930000,
5161.49582672,  0.04000000,  0.00000000,  3.92490000,  4.08740000,
5161.59585929,  0.05000000,  0.00000000,  3.92490000,  4.08660000,
5161.69581318,  0.04000000,  0.00000000,  3.92490000,  4.08700000,
5161.79583120,  0.03000000,  0.00000000,  3.92490000,  4.08800000,
5161.89594173,  0.05000000,  0.00000000,  3.92490000,  4.08660000,
5161.99602842,  0.08000000,  0.00000000,  3.92490000,  4.08440000,
5162.09575534,  0.11000000,  0.00000000,  3.92490000,  4.08210000,
5162.19585705,  0.16000000,  0.00000000,  3.92490000,  4.07880000,
5162.29635024,  0.22000000,  0.00000000,  3.92490000,  4.07440000,
5162.39601827,  0.26000000,  0.00000000,  3.92490000,  4.07200000,
5162.49578691,  0.23000000,  0.00000000,  3.92490000,  4.07400000,
5162.59610295,  0.27000000,  0.00000000,  3.92490000,  4.07120000,
5162.69573879,  0.26000000,  0.00000000,  3.92490000,  4.07140000,
5162.79597187,  0.29000000,  0.00000000,  3.92490000,  4.06940000,
5162.89578295,  0.29000000,  0.00000000,  3.92490000,  4.06900000,
5162.99579978,  0.30000000,  0.00000000,  3.92490000,  4.06840000,
5163.09603739,  0.31000000,  0.00000000,  3.92490000,  4.06730000,
5163.19620848,  0.32000000,  0.00000000,  3.92490000,  4.06710000,
5163.29592657,  0.36000000,  0.00000000,  3.92490000,  4.06430000,
5163.39603186,  0.35000000,  0.00000000,  3.92490000,  4.06420000,
5163.49604130,  0.34000000,  0.00000000,  3.92490000,  4.06470000,
5163.59584284,  0.42000000,  0.00000000,  3.92490000,  4.05950000,
5163.69617009,  0.43000000,  0.00000000,  3.92490000,  4.05870000,
5163.79652047,  0.36000000,  0.00000000,  3.92490000,  4.06300000,
5163.89582157,  0.33000000,  0.00000000,  3.92490000,  4.06500000,
5163.99579144,  0.33000000,  0.00000000,  3.92490000,  4.06440000,
5164.09600234,  0.38000000,  0.00000000,  3.92490000,  4.06110000,
5164.19613075,  0.36000000,  0.00000000,  3.92490000,  4.06230000,
5164.29586935,  0.37000000,  0.00000000,  3.92490000,  4.06170000,
5164.39591146,  0.35000000,  0.00000000,  3.92490000,  4.06230000,
5164.49576283,  0.31000000,  0.00000000,  3.92490000,  4.06500000,
5164.59586859,  0.33000000,  0.00000000,  3.92490000,  4.06330000,
5164.69575572,  0.31000000,  0.00000000,  3.92490000,  4.06460000,
5164.79618692,  0.29000000,  0.00000000,  3.92490000,  4.06620000,
5164.89588380,  0.25000000,  0.00000000,  3.92490000,  4.06840000,
5164.99606705,  0.26000000,  0.00000000,  3.92490000,  4.06780000,
5165.09580469,  0.26000000,  0.00000000,  3.92490000,  4.06760000,
5165.19580293,  0.27000000,  0.00000000,  3.92490000,  4.06680000,
5165.29585242,  0.27000000,  0.00000000,  3.92490000,  4.06640000,
5165.39583182,  0.25000000,  0.00000000,  3.92490000,  4.06770000,
5165.49573493,  0.27000000,  0.00000000,  3.92490000,  4.06670000,
5165.59673238,  0.23000000,  0.00000000,  3.92490000,  4.06890000,
5165.69588351,  0.25000000,  0.00000000,  3.92490000,  4.06760000,
5165.79604459,  0.22000000,  0.00000000,  3.92490000,  4.06960000,
5165.89590836,  0.20000000,  0.00000000,  3.92490000,  4.07090000,
5165.99623418,  0.21000000,  0.00000000,  3.92490000,  4.06980000,
5166.09608531,  0.22000000,  0.00000000,  3.92490000,  4.06930000,
5166.19576621,  0.22000000,  0.00000000,  3.92490000,  4.06920000,
5166.29604387,  0.22000000,  0.00000000,  3.92490000,  4.06920000,
5166.39611387,  0.22000000,  0.00000000,  3.92490000,  4.06850000,
5166.49627876,  0.23000000,  0.00000000,  3.92490000,  4.06830000,
5166.59579730,  0.21000000,  0.00000000,  3.92490000,  4.06940000,
5166.69570422,  0.19000000,  0.00000000,  3.92490000,  4.07070000,
5166.79595470,  0.19000000,  0.00000000,  3.92490000,  4.07060000,
5166.89606500,  0.19000000,  0.00000000,  3.92490000,  4.07030000,
5166.99582624,  0.19000000,  0.00000000,  3.92490000,  4.07000000,
5167.09585977,  0.18000000,  0.00000000,  3.92490000,  4.07050000,
5167.19583273,  0.17000000,  0.00000000,  3.92490000,  4.07120000,
5167.29616570,  0.15000000,  0.00000000,  3.92490000,  4.07240000,
5167.39600229,  0.15000000,  0.00000000,  3.92490000,  4.07240000,
5167.49606705,  0.14000000,  0.00000000,  3.92490000,  4.07320000,
5167.59592938,  0.15000000,  0.00000000,  3.92490000,  4.07260000,
5167.69582391,  0.15000000,  0.00000000,  3.92490000,  4.07250000,
5167.79562974,  0.14000000,  0.00000000,  3.92490000,  4.07320000,
5167.89576864,  0.11000000,  0.00000000,  3.92490000,  4.07450000,
5167.99615598,  0.09000000,  0.00000000,  3.92490000,  4.07600000,
5168.09585094,  0.04000000,  0.00000000,  3.92490000,  4.07920000,
5168.19632745,  0.05000000,  0.00000000,  3.92490000,  4.07890000,
5168.29586864,  0.05000000,  0.00000000,  3.92490000,  4.07860000,
5168.39621735,  0.06000000,  0.00000000,  3.92490000,  4.07790000,
5168.49610424,  0.09000000,  0.00000000,  3.92490000,  4.07620000,
5168.59602427,  0.09000000,  0.00000000,  3.92490000,  4.07570000,
5168.69612575,  0.08000000,  0.00000000,  3.92490000,  4.07650000,
5168.79611397,  0.09000000,  0.00000000,  3.92490000,  4.07610000,
5168.89633942,  0.08000000,  0.00000000,  3.92490000,  4.07640000,
5168.99579048,  0.10000000,  0.00000000,  3.92490000,  4.07480000,
5169.09594822,  0.12000000,  0.00000000,  3.92490000,  4.07370000,
5169.19667602,  0.12000000,  0.00000000,  3.92490000,  4.07380000,
5169.29612851,  0.10000000,  0.00000000,  3.92490000,  4.07500000,
5169.39576268,  0.12000000,  0.00000000,  3.92490000,  4.07340000,
5169.49595380,  0.12000000,  0.00000000,  3.92490000,  4.07360000,
5169.59604001,  0.11000000,  0.00000000,  3.92490000,  4.07420000,
5169.69609070,  0.14000000,  0.00000000,  3.92490000,  4.07200000,
5169.79587078,  0.15000000,  0.00000000,  3.92490000,  4.07100000,
5169.89608455,  0.16000000,  0.00000000,  3.92490000,  4.07020000,
5169.99566364,  0.14000000,  0.00000000,  3.92490000,  4.07180000,
5170.09606791,  0.15000000,  0.00000000,  3.92490000,  4.07080000,
5170.19595766,  0.18000000,  0.00000000,  3.92490000,  4.06890000,
5170.29605341,  0.19000000,  0.00000000,  3.92490000,  4.06810000,
5170.39620471,  0.19000000,  0.00000000,  3.92490000,  4.06800000,
5170.49581981,  0.21000000,  0.00000000,  3.92490000,  4.06680000,
5170.59658170,  0.20000000,  0.00000000,  3.92490000,  4.06700000,
5170.69602227,  0.20000000,  0.00000000,  3.92490000,  4.06690000,
5170.79570293,  0.19000000,  0.00000000,  3.92490000,  4.06760000,
5170.89574409,  0.20000000,  0.00000000,  3.92490000,  4.06710000,
5170.99597406,  0.20000000,  0.00000000,  3.92490000,  4.06670000,
5171.09576845,  0.24000000,  0.00000000,  3.92490000,  4.06410000,
5171.19574714,  0.23000000,  0.00000000,  3.92490000,  4.06440000,
5171.29574966,  0.25000000,  0.00000000,  3.92490000,  4.06340000,
